Crystal angle	Rate at 15kV
theta/°	R(15kV)/Imp/s

3.5	1.0
3.6	4.0
3.7	4.0
3.8	1.0
3.9	3.0
4.0	2.0
4.1	2.0
4.2	2.0
4.3	1.0
4.4	1.0
4.5	2.0
4.6	3.0
4.7	4.0
4.8	4.0
4.9	2.0
5.0	0.0
5.1	0.0
5.2	1.0
5.3	1.0
5.4	1.0
5.5	1.0
5.6	2.0
5.7	2.0
5.8	2.0
5.9	2.0
6.0	4.0
6.1	1.0
6.2	3.0
6.3	2.0
6.4	2.0
6.5	2.0
6.6	2.0
6.7	1.0
6.8	3.0
6.9	2.0
7.0	2.0
7.1	3.0
7.2	4.0
7.3	3.0
7.4	3.0
7.5	3.0
7.6	2.0
7.7	1.0
7.8	3.0
7.9	1.0
8.0	4.0
8.1	3.0
8.2	2.0
8.3	1.0
8.4	1.0
8.5	0.0
8.6	1.0
8.7	1.0
8.8	3.0
8.9	0.0
9.0	2.0
9.1	4.0
9.2	3.0
9.3	2.0
9.4	1.0
9.5	1.0
9.6	3.0
9.7	5.0
9.8	5.0
9.9	1.0
10.0	1.0
10.1	2.0
10.2	1.0
10.3	4.0
10.4	3.0
10.5	1.0
10.6	2.0
10.7	1.0
10.8	1.0
10.9	5.0
11.0	1.0
11.1	0.0
11.2	2.0
11.3	1.0
11.4	2.0
11.5	1.0
11.6	4.0
11.7	3.0
11.8	1.0
11.9	3.0
12.0	0.0
12.1	2.0
12.2	4.0
12.3	10.0
12.4	9.0
12.5	22.0
12.6	15.0
12.7	26.0
12.8	23.0
12.9	30.0
13.0	21.0
13.1	0.0
13.2	21.0
13.3	24.0
13.4	22.0
13.5	31.0
13.6	23.0
13.7	26.0
13.8	29.0
13.9	28.0
14.0	20.0
14.1	26.0
14.2	26.0
14.3	25.0
14.4	20.0
14.5	23.0
14.6	17.0
14.7	18.0
14.8	26.0
14.9	16.0
15.0	16.0
15.1	31.0
15.2	21.0
15.3	21.0
15.4	16.0
15.5	24.0
15.6	14.0
15.7	19.0
15.8	15.0
15.9	11.0
16.0	22.0
16.1	16.0
16.2	22.0
16.3	10.0
16.4	16.0
16.5	16.0
16.6	15.0
16.7	23.0
16.8	18.0
16.9	7.0
17.0	10.0
17.1	15.0
17.2	12.0
17.3	11.0
17.4	12.0
17.5	11.0
17.6	7.0
17.7	7.0
17.8	8.0
17.9	7.0
18.0	9.0
18.1	10.0
18.2	10.0
18.3	13.0
18.4	12.0
18.5	5.0
18.6	9.0
18.7	9.0
18.8	12.0
18.9	4.0
19.0	9.0
19.1	8.0
19.2	9.0
19.3	9.0
19.4	5.0
19.5	3.0
19.6	5.0
19.7	4.0
19.8	4.0
19.9	6.0
20.0	4.0
20.1	7.0
20.2	26.0
20.3	23.0
20.4	16.0
20.5	13.0
20.6	3.0
20.7	5.0
20.8	3.0
20.9	3.0
21.0	1.0
21.1	3.0
21.2	6.0
21.3	2.0
21.4	2.0
21.5	2.0
21.6	13.0
21.7	10.0
21.8	15.0
21.9	25.0
22.0	33.0
22.1	19.0
22.2	36.0
22.3	57.0
22.4	530.0
22.5	833.0
22.6	802.0
22.7	493.0
22.8	192.0
22.9	30.0
23.0	23.0
23.1	22.0
23.2	14.0
23.3	15.0
23.4	22.0
23.5	16.0
23.6	15.0
23.7	12.0
23.8	14.0
23.9	9.0
24.0	14.0
24.1	9.0
24.2	8.0
24.3	13.0
24.4	17.0
24.5	10.0
24.6	7.0
24.7	14.0
24.8	13.0
24.9	16.0
25.0	13.0
