Crystal angle	Rate at 20kV
theta/°	R(20kV)/Imp/s

3.5	4.0
3.6	6.0
3.7	4.0
3.8	2.0
3.9	4.0
4.0	7.0
4.1	3.0
4.2	7.0
4.3	2.0
4.4	9.0
4.5	6.0
4.6	2.0
4.7	3.0
4.8	5.0
4.9	10.0
5.0	2.0
5.1	5.0
5.2	7.0
5.3	4.0
5.4	3.0
5.5	2.0
5.6	1.0
5.7	1.0
5.8	9.0
5.9	1.0
6.0	5.0
6.1	5.0
6.2	4.0
6.3	4.0
6.4	2.0
6.5	4.0
6.6	4.0
6.7	7.0
6.8	4.0
6.9	2.0
7.0	7.0
7.1	4.0
7.2	6.0
7.3	4.0
7.4	5.0
7.5	1.0
7.6	2.0
7.7	5.0
7.8	3.0
7.9	9.0
8.0	7.0
8.1	9.0
8.2	4.0
8.3	4.0
8.4	5.0
8.5	8.0
8.6	5.0
8.7	4.0
8.8	12.0
8.9	8.0
9.0	6.0
9.1	14.0
9.2	40.0
9.3	34.0
9.4	47.0
9.5	62.0
9.6	69.0
9.7	66.0
9.8	83.0
9.9	71.0
10.0	82.0
10.1	87.0
10.2	99.0
10.3	98.0
10.4	112.0
10.5	98.0
10.6	124.0
10.7	108.0
10.8	108.0
10.9	107.0
11.0	114.0
11.1	130.0
11.2	120.0
11.3	107.0
11.4	104.0
11.5	96.0
11.6	116.0
11.7	128.0
11.8	111.0
11.9	125.0
12.0	119.0
12.1	112.0
12.2	99.0
12.3	128.0
12.4	113.0
12.5	110.0
12.6	115.0
12.7	115.0
12.8	96.0
12.9	94.0
13.0	102.0
13.1	95.0
13.2	90.0
13.3	84.0
13.4	75.0
13.5	82.0
13.6	71.0
13.7	70.0
13.8	62.0
13.9	64.0
14.0	54.0
14.1	63.0
14.2	58.0
14.3	49.0
14.4	53.0
14.5	50.0
14.6	33.0
14.7	33.0
14.8	57.0
14.9	48.0
15.0	49.0
15.1	59.0
15.2	47.0
15.3	44.0
15.4	50.0
15.5	32.0
15.6	40.0
15.7	44.0
15.8	37.0
15.9	43.0
16.0	44.0
16.1	37.0
16.2	30.0
16.3	41.0
16.4	27.0
16.5	35.0
16.6	29.0
16.7	36.0
16.8	20.0
16.9	30.0
17.0	30.0
17.1	23.0
17.2	19.0
17.3	26.0
17.4	24.0
17.5	24.0
17.6	21.0
17.7	18.0
17.8	25.0
17.9	17.0
18.0	19.0
18.1	21.0
18.2	16.0
18.3	14.0
18.4	20.0
18.5	14.0
18.6	12.0
18.7	20.0
18.8	17.0
18.9	17.0
19.0	11.0
19.1	17.0
19.2	18.0
19.3	14.0
19.4	10.0
19.5	8.0
19.6	22.0
19.7	13.0
19.8	17.0
19.9	17.0
20.0	21.0
20.1	22.0
20.2	58.0
20.3	55.0
20.4	55.0
20.5	21.0
20.6	13.0
20.7	19.0
20.8	15.0
20.9	11.0
21.0	12.0
21.1	15.0
21.2	13.0
21.3	18.0
21.4	15.0
21.5	13.0
21.6	19.0
21.7	30.0
21.8	42.0
21.9	44.0
22.0	50.0
22.1	52.0
22.2	63.0
22.3	113.0
22.4	1408.0
22.5	2007.0
22.6	1900.0
22.7	1254.0
22.8	530.0
22.9	62.0
23.0	50.0
23.1	50.0
23.2	45.0
23.3	39.0
23.4	32.0
23.5	44.0
23.6	28.0
23.7	29.0
23.8	25.0
23.9	28.0
24.0	35.0
24.1	27.0
24.2	35.0
24.3	24.0
24.4	26.0
24.5	21.0
24.6	27.0
24.7	20.0
24.8	20.0
24.9	25.0
25.0	22.0
