Crystal angle	Rate at 30kV
theta/°	R(30kV)/Imp/s

3.5	18.0
3.6	23.0
3.7	24.0
3.8	25.0
3.9	17.0
4.0	18.0
4.1	11.0
4.2	18.0
4.3	13.0
4.4	15.0
4.5	20.0
4.6	10.0
4.7	20.0
4.8	8.0
4.9	20.0
5.0	11.0
5.1	13.0
5.2	20.0
5.3	23.0
5.4	22.0
5.5	42.0
5.6	51.0
5.7	47.0
5.8	50.0
5.9	78.0
6.0	87.0
6.1	83.0
6.2	0.0
6.3	153.0
6.4	172.0
6.5	198.0
6.6	209.0
6.7	219.0
6.8	239.0
6.9	281.0
7.0	281.0
7.1	301.0
7.2	317.0
7.3	313.0
7.4	293.0
7.5	331.0
7.6	351.0
7.7	337.0
7.8	321.0
7.9	350.0
8.0	362.0
8.1	389.0
8.2	386.0
8.3	412.0
8.4	359.0
8.5	378.0
8.6	397.0
8.7	365.0
8.8	369.0
8.9	395.0
9.0	386.0
9.1	410.0
9.2	382.0
9.3	355.0
9.4	370.0
9.5	410.0
9.6	0.0
9.7	409.0
9.8	384.0
9.9	376.0
10.0	394.0
10.1	402.0
10.2	378.0
10.3	356.0
10.4	349.0
10.5	347.0
10.6	381.0
10.7	349.0
10.8	349.0
10.9	375.0
11.0	351.0
11.1	292.0
11.2	334.0
11.3	305.0
11.4	328.0
11.5	289.0
11.6	310.0
11.7	295.0
11.8	297.0
11.9	280.0
12.0	297.0
12.1	267.0
12.2	269.0
12.3	243.0
12.4	263.0
12.5	245.0
12.6	248.0
12.7	245.0
12.8	263.0
12.9	217.0
13.0	219.0
13.1	235.0
13.2	218.0
13.3	213.0
13.4	188.0
13.5	188.0
13.6	173.0
13.7	187.0
13.8	173.0
13.9	145.0
14.0	137.0
14.1	155.0
14.2	142.0
14.3	120.0
14.4	122.0
14.5	124.0
14.6	140.0
14.7	133.0
14.8	127.0
14.9	118.0
15.0	118.0
15.1	119.0
15.2	110.0
15.3	110.0
15.4	132.0
15.5	114.0
15.6	103.0
15.7	106.0
15.8	98.0
15.9	109.0
16.0	100.0
16.1	104.0
16.2	89.0
16.3	87.0
16.4	83.0
16.5	98.0
16.6	80.0
16.7	75.0
16.8	103.0
16.9	85.0
17.0	93.0
17.1	75.0
17.2	70.0
17.3	68.0
17.4	73.0
17.5	73.0
17.6	72.0
17.7	58.0
17.8	76.0
17.9	69.0
18.0	67.0
18.1	63.0
18.2	74.0
18.3	60.0
18.4	62.0
18.5	50.0
18.6	60.0
18.7	49.0
18.8	39.0
18.9	68.0
19.0	52.0
19.1	48.0
19.2	35.0
19.3	42.0
19.4	61.0
19.5	45.0
19.6	60.0
19.7	51.0
19.8	56.0
19.9	44.0
20.0	57.0
20.1	70.0
20.2	183.0
20.3	188.0
20.4	146.0
20.5	102.0
20.6	57.0
20.7	45.0
20.8	70.0
20.9	52.0
21.0	52.0
21.1	42.0
21.2	48.0
21.3	33.0
21.4	38.0
21.5	38.0
21.6	51.0
21.7	72.0
21.8	81.0
21.9	99.0
22.0	106.0
22.1	102.0
22.2	168.0
22.3	244.0
22.4	2860.0
22.5	4369.0
22.6	4414.0
22.7	3071.0
22.8	1521.0
22.9	159.0
23.0	101.0
23.1	103.0
23.2	93.0
23.3	105.0
23.4	81.0
23.5	82.0
23.6	53.0
23.7	74.0
23.8	71.0
23.9	57.0
24.0	55.0
24.1	62.0
24.2	61.0
24.3	61.0
24.4	62.0
24.5	58.0
24.6	59.0
24.7	45.0
24.8	52.0
24.9	60.0
25.0	43.0
