Crystal angle	Rate at 25kV
theta/°	R(25kV)/Imp/s

3.5	10.0
3.6	9.0
3.7	8.0
3.8	10.0
3.9	6.0
4.0	4.0
4.1	11.0
4.2	13.0
4.3	6.0
4.4	8.0
4.5	9.0
4.6	9.0
4.7	12.0
4.8	8.0
4.9	3.0
5.0	10.0
5.1	6.0
5.2	9.0
5.3	10.0
5.4	10.0
5.5	14.0
5.6	8.0
5.7	8.0
5.8	5.0
5.9	15.0
6.0	7.0
6.1	13.0
6.2	10.0
6.3	16.0
6.4	9.0
6.5	23.0
6.6	16.0
6.7	13.0
6.8	19.0
6.9	11.0
7.0	21.0
7.1	31.0
7.2	30.0
7.3	41.0
7.4	60.0
7.5	75.0
7.6	89.0
7.7	101.0
7.8	127.0
7.9	132.0
8.0	152.0
8.1	175.0
8.2	173.0
8.3	192.0
8.4	165.0
8.5	192.0
8.6	198.0
8.7	194.0
8.8	207.0
8.9	186.0
9.0	213.0
9.1	246.0
9.2	248.0
9.3	229.0
9.4	241.0
9.5	237.0
9.6	275.0
9.7	203.0
9.8	246.0
9.9	245.0
10.0	265.0
10.1	224.0
10.2	242.0
10.3	245.0
10.4	238.0
10.5	268.0
10.6	242.0
10.7	248.0
10.8	229.0
10.9	238.0
11.0	234.0
11.1	230.0
11.2	212.0
11.3	236.0
11.4	212.0
11.5	247.0
11.6	206.0
11.7	220.0
11.8	196.0
11.9	205.0
12.0	170.0
12.1	172.0
12.2	178.0
12.3	195.0
12.4	171.0
12.5	167.0
12.6	156.0
12.7	178.0
12.8	188.0
12.9	172.0
13.0	149.0
13.1	176.0
13.2	152.0
13.3	150.0
13.4	131.0
13.5	116.0
13.6	132.0
13.7	109.0
13.8	107.0
13.9	95.0
14.0	100.0
14.1	95.0
14.2	94.0
14.3	80.0
14.4	82.0
14.5	84.0
14.6	64.0
14.7	81.0
14.8	71.0
14.9	72.0
15.0	80.0
15.1	61.0
15.2	64.0
15.3	71.0
15.4	78.0
15.5	64.0
15.6	70.0
15.7	60.0
15.8	80.0
15.9	66.0
16.0	62.0
16.1	83.0
16.2	63.0
16.3	58.0
16.4	56.0
16.5	65.0
16.6	55.0
16.7	55.0
16.8	35.0
16.9	50.0
17.0	48.0
17.1	51.0
17.2	62.0
17.3	48.0
17.4	42.0
17.5	54.0
17.6	39.0
17.7	58.0
17.8	40.0
17.9	49.0
18.0	50.0
18.1	39.0
18.2	37.0
18.3	25.0
18.4	42.0
18.5	49.0
18.6	40.0
18.7	39.0
18.8	38.0
18.9	46.0
19.0	36.0
19.1	25.0
19.2	38.0
19.3	34.0
19.4	25.0
19.5	36.0
19.6	33.0
19.7	35.0
19.8	19.0
19.9	23.0
20.0	35.0
20.1	60.0
20.2	122.0
20.3	127.0
20.4	96.0
20.5	53.0
20.6	34.0
20.7	34.0
20.8	28.0
20.9	26.0
21.0	26.0
21.1	31.0
21.2	39.0
21.3	33.0
21.4	27.0
21.5	34.0
21.6	34.0
21.7	61.0
21.8	65.0
21.9	85.0
22.0	69.0
22.1	84.0
22.2	100.0
22.3	180.0
22.4	2053.0
22.5	3161.0
22.6	3185.0
22.7	2145.0
22.8	935.0
22.9	109.0
23.0	72.0
23.1	55.0
23.2	56.0
23.3	60.0
23.4	52.0
23.5	72.0
23.6	46.0
23.7	40.0
23.8	60.0
23.9	62.0
24.0	48.0
24.1	43.0
24.2	32.0
24.3	52.0
24.4	44.0
24.5	38.0
24.6	37.0
24.7	34.0
24.8	29.0
24.9	41.0
25.0	31.0
