Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

17.0	28.0
17.1	30.0
17.2	28.0
17.3	27.0
17.4	28.0
17.5	29.0
17.6	28.0
17.7	28.0
17.8	30.0
17.9	26.0
18.0	26.0
18.1	26.0
18.2	25.0
18.3	26.0
18.4	25.0
18.5	24.0
18.6	26.0
18.7	23.0
18.8	23.0
18.9	23.0
19.0	24.0
19.1	27.0
19.2	25.0
19.3	26.0
19.4	39.0
19.5	57.0
19.6	77.0
19.7	79.0
19.8	73.0
19.9	46.0
20.0	29.0
20.1	25.0
20.2	24.0
20.3	24.0
20.4	21.0
20.5	20.0
20.6	19.0
20.7	20.0
20.8	20.0
20.9	18.0
21.0	19.0
21.1	18.0
21.2	20.0
21.3	20.0
21.4	21.0
21.5	19.0
21.6	18.0
21.7	18.0
21.8	18.0
21.9	19.0
22.0	17.0
22.1	18.0
22.2	17.0
22.3	18.0
22.4	17.0
22.5	16.0
22.6	14.0
22.7	17.0
22.8	17.0
22.9	18.0
23.0	16.0
23.1	15.0
23.2	17.0
23.3	17.0
23.4	17.0
23.5	16.0
23.6	15.0
23.7	15.0
23.8	17.0
23.9	14.0
24.0	15.0
24.1	16.0
24.2	14.0
24.3	13.0
24.4	14.0
24.5	16.0
24.6	13.0
24.7	14.0
24.8	15.0
24.9	13.0
25.0	15.0
25.1	14.0
25.2	15.0
25.3	13.0
25.4	14.0
25.5	14.0
25.6	13.0
25.7	12.0
25.8	11.0
25.9	11.0
26.0	11.0
26.1	13.0
26.2	13.0
26.3	11.0
26.4	11.0
26.5	12.0
26.6	13.0
26.7	12.0
26.8	11.0
26.9	12.0
27.0	12.0
27.1	11.0
27.2	10.0
27.3	12.0
27.4	12.0
27.5	12.0
27.6	10.0
27.7	11.0
27.8	9.0
27.9	15.0
28.0	15.0
28.1	17.0
28.2	18.0
28.3	19.0
28.4	17.0
28.5	13.0
28.6	11.0
28.7	11.0
28.8	10.0
28.9	11.0
29.0	0.0
29.1	11.0
29.2	10.0
29.3	10.0
29.4	11.0
29.5	11.0
29.6	9.0
29.7	10.0
29.8	10.0
29.9	10.0
30.0	11.0
30.1	11.0
30.2	11.0
30.3	10.0
30.4	10.0
30.5	11.0
30.6	10.0
30.7	10.0
30.8	10.0
30.9	11.0
31.0	8.0
31.1	9.0
31.2	8.0
31.3	10.0
31.4	10.0
31.5	9.0
31.6	10.0
31.7	10.0
31.8	9.0
31.9	8.0
32.0	8.0
32.1	9.0
32.2	9.0
32.3	9.0
32.4	9.0
32.5	9.0
32.6	9.0
32.7	10.0
32.8	6.0
32.9	0.0
33.0	8.0
33.1	8.0
33.2	8.0
33.3	8.0
33.4	8.0
33.5	9.0
33.6	7.0
33.7	7.0
33.8	7.0
33.9	9.0
34.0	8.0
34.1	7.0
34.2	7.0
34.3	8.0
34.4	6.0
34.5	9.0
34.6	8.0
34.7	8.0
34.8	8.0
34.9	8.0
35.0	10.0
35.1	11.0
35.2	15.0
35.3	15.0
35.4	14.0
35.5	10.0
35.6	11.0
35.7	7.0
35.8	6.0
35.9	8.0
36.0	7.0
36.1	7.0
36.2	5.0
36.3	6.0
36.4	7.0
36.5	8.0
36.6	8.0
36.7	7.0
36.8	8.0
36.9	7.0
37.0	7.0
37.1	6.0
37.2	7.0
37.3	6.0
37.4	7.0
37.5	7.0
37.6	7.0
37.7	9.0
37.8	7.0
37.9	7.0
38.0	6.0
38.1	7.0
38.2	7.0
38.3	7.0
38.4	6.0
38.5	6.0
38.6	7.0
38.7	7.0
38.8	7.0
38.9	7.0
39.0	7.0
39.1	7.0
39.2	6.0
39.3	7.0
39.4	8.0
39.5	7.0
39.6	8.0
39.7	7.0
39.8	8.0
39.9	7.0
40.0	7.0
40.1	7.0
40.2	6.0
40.3	6.0
40.4	6.0
40.5	7.0
40.6	8.0
40.7	7.0
40.8	8.0
40.9	7.0
41.0	7.0
41.1	7.0
41.2	8.0
41.3	8.0
41.4	9.0
41.5	12.0
41.6	13.0
41.7	13.0
41.8	12.0
41.9	10.0
42.0	9.0
42.1	9.0
42.2	7.0
42.3	8.0
42.4	6.0
42.5	7.0
42.6	7.0
42.7	7.0
42.8	6.0
42.9	8.0
43.0	7.0
43.1	7.0
43.2	6.0
43.3	6.0
43.4	8.0
43.5	7.0
43.6	7.0
43.7	6.0
43.8	7.0
43.9	7.0
44.0	7.0
44.1	6.0
44.2	5.0
44.3	7.0
44.4	6.0
44.5	8.0
44.6	6.0
44.7	6.0
44.8	9.0
44.9	6.0
45.0	7.0
45.1	7.0
45.2	7.0
45.3	7.0
45.4	7.0
45.5	6.0
45.6	8.0
45.7	6.0
45.8	9.0
45.9	8.0
46.0	7.0
46.1	8.0
46.2	8.0
46.3	7.0
46.4	7.0
46.5	8.0
46.6	8.0
46.7	7.0
46.8	6.0
46.9	6.0
47.0	7.0
47.1	7.0
47.2	8.0
47.3	7.0
47.4	6.0
47.5	8.0
47.6	9.0
47.7	11.0
47.8	11.0
47.9	12.0
48.0	12.0
48.1	11.0
48.2	10.0
48.3	8.0
48.4	8.0
48.5	8.0
48.6	6.0
48.7	7.0
48.8	7.0
48.9	6.0
49.0	6.0
49.1	7.0
49.2	7.0
49.3	7.0
49.4	6.0
49.5	9.0
49.6	8.0
49.7	7.0
49.8	7.0
49.9	7.0
50.0	8.0
